USER;ID; %CPU ;%MEM;VSZ; RSS TTY;STAT START; TIME;  COMMAND
root;19;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [kmemstick]
root;33;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [card0-crtc0]
root;34;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [card0-crtc1]
root;35;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [card0-crtc2]
root;59;0.0;0.0;0; 0 ?;S;nov01; 0:01;\_ [jbd2/sdb3-8]
root;60;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [ext4-rsv-conver]
root;7270;0.0;0.0;0; 0 ?;S<; 11:08; 0:00;\_ [krfcommd]
root;7296;0.0;0.0;0; 0 ?;S;12:32; 0:00;\_ [irq/46-mei_me]
root;7317;0.0;0.0;0; 0 ?;S;12:33; 0:00;\_ [hwrng]
root; 11812;0.0;0.0;0; 0 ?;S<; 13:50; 0:00;\_ [khidpd_ae248918]
root; 12632;0.0;0.0;0; 0 ?;I;14:08; 0:00;\_ [kworker/3:0-events]
root; 13456;0.0;0.0;0; 0 ?;I<; 14:41; 0:02;\_ [kworker/u9:1-hci0]
root; 14123;0.0;0.0;0; 0 ?;I;15:26; 0:00;\_ [kworker/u8:3-events_unbound]
root; 14577;0.1;0.0;0; 0 ?;I;15:35; 0:01;\_ [kworker/0:0-events]
root; 14578;0.0;0.0;0; 0 ?;I;15:35; 0:00;\_ [kworker/2:0-events]
root; 14768;0.0;0.0;0; 0 ?;I;15:40; 0:00;\_ [kworker/u8:0-events_power_efficient]
root; 14781;0.0;0.0;0; 0 ?;I;15:40; 0:00;\_ [kworker/3:2-events]
root; 14880;0.0;0.0;0; 0 ?;I;15:42; 0:00;\_ [kworker/1:2-events]
root; 14949;0.0;0.0;0; 0 ?;I;15:45; 0:00;\_ [kworker/u8:2-events_unbound]
root; 15008;0.0;0.0;0; 0 ?;D<; 15:47; 0:00;\_ [kworker/u9:2+i915_flip]
root; 15191;0.0;0.0;0; 0 ?;I;15:51; 0:00;\_ [kworker/0:1-events]
