,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/15/2022 13:42:37,2.30768919,0.7692337,0.7692337,6.935096,2.69531,37,38,39,37,42,1310.402,1310.402,1310.402,1411.20215,2.97638583,0.344264537,0.0232683569,0,100.800148
09/15/2022 13:42:38,2.30768919,0.7692337,0.7692337,4.615384,2.11538076,38,39,39,37,44,1310.40149,1310.40149,1310.40149,1310.40149,2.66379547,0.212304488,0.0149238976,0,100.80011
09/15/2022 13:42:39,2.34375,1.5625,0.7692337,6.25,2.731371,39,38,38,38,43,1310.40149,1310.40149,1310.40149,1310.40149,3.17468786,0.3367736,0.01728148,0,100.800117
09/15/2022 13:42:40,0,0,0.78125,3.90625,1.171875,39,38,39,37,43,1310.40186,1310.40186,1310.40186,1310.40186,3.419541,0.3571567,0.0188041683,0,100.80014
09/15/2022 13:42:41,7.03125,0.78125,0,3.90625,2.9296875,39,38,38,38,44,1411.20129,1411.20129,1310.40125,1310.40125,3.69163322,0.7465682,0.0315477178,0,100.800095
09/15/2022 13:42:42,3.125,0.78125,0,3.90625,1.953125,38,38,37,37,43,1310.40149,1310.40149,1310.40149,1310.40149,2.7277956,0.223273024,0.0176873915,0,100.800117
09/15/2022 13:42:43,0.7692337,0,1.51515007,7.69230747,2.49417424,38,38,38,36,42,1310.40125,1310.40125,1310.40125,1310.40125,2.757593,0.324476749,0.0270142052,0,100.800095
09/15/2022 13:42:44,2.34375,2.34375,0,7.03125,2.9296875,39,39,39,37,42,1411.20166,1411.20166,2923.20337,2016.00232,2.99670649,0.243310228,0.0185677763,0,100.800117
09/15/2022 13:42:45,6.153846,1.53846145,0,3.076923,2.692306,39,38,39,36,43,1310.40149,1310.40149,1310.40149,1310.40149,3.68981576,0.6182034,0.040182624,0,100.800117
09/15/2022 13:42:46,1.5625,0.78125,0.78125,6.25,2.34375,38,38,38,37,42,1310.40161,1310.40161,1310.40161,1310.40161,2.71714115,0.219596073,0.0141041884,0,100.800117
09/15/2022 13:42:47,0.78125,0.78125,0,6.25,1.953125,38,38,37,37,43,1310.40088,1310.40088,1310.40088,1411.20093,2.75304651,0.305894047,0.0224823281,0,100.800064
09/15/2022 13:42:48,2.30768919,0,0,6.130886,2.1096468,38,38,37,36,42,1411.20251,1310.40234,1310.40234,2923.20532,2.87154937,0.262163848,0.0158317368,0,100.800179
09/15/2022 13:42:49,3.125,0.78125,0.793647766,7.8125,3.12809944,37,38,37,36,42,1310.40125,1310.40125,1310.40125,1310.40125,3.42667556,0.40701285,0.0390171371,0,100.800095
09/15/2022 13:42:50,0,2.36855149,1.5625,4.6875,2.15463638,38,38,38,37,42,1411.20178,1411.20178,1411.20178,1411.20178,3.09394121,0.421001673,0.0153627815,0,100.800125
09/15/2022 13:42:51,1.5625,0,2.35614777,5.46875,2.34684944,38,37,38,37,42,1411.20142,1310.40137,1310.40137,1310.40137,3.26055956,0.405704349,0.0296054538,0,100.8001
09/15/2022 13:42:52,1.5625,0,0.793647766,4.6875,1.760912,38,37,39,36,42,1310.40125,1310.40125,1411.20129,1411.20129,2.873233,0.225037634,0.0199856889,0,100.800095
09/15/2022 13:42:53,3.125,0,0.757575035,2.34375,1.55658126,39,38,38,37,42,1310.402,1310.402,1411.20215,1411.20215,3.29975367,0.4197883,0.0335709676,0,100.800156
09/15/2022 13:42:54,1.5625,0.78125,0.806450844,6.25,2.35005021,38,38,39,36,42,1411.20117,1310.40112,1310.40112,1310.40112,3.1178422,0.3261145,0.0198466964,0,100.800087
09/15/2022 13:42:55,1.5625,1.5625,0,7.03125,2.5390625,38,37,38,37,41,1310.40137,1310.40137,1411.20154,1310.40137,2.92555237,0.345267445,0.01715956,0,100.80011
09/15/2022 13:42:56,0.78125,1.5625,0.78125,7.03125,2.5390625,38,37,38,35,42,1310.40149,1411.20166,1310.40149,1310.40149,3.01102161,0.3442031,0.0235151052,0,100.800117
09/15/2022 13:42:57,2.30768919,1.53846145,0,6.153846,2.49999762,38,37,37,36,42,1411.20215,1411.20215,1411.20215,1310.402,2.73471332,0.2291895,0.020868307,0,100.800148
