USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         437  0.0  0.0      0     0 ?        I<   Oct03   0:00 [btrfs-delayed-m]
root         438  0.0  0.0      0     0 ?        I<   Oct03   0:00 [btrfs-readahead]
root         439  0.0  0.0      0     0 ?        I<   Oct03   0:00 [btrfs-qgroup-re]
root         440  0.0  0.0      0     0 ?        S    Oct03   0:00 [btrfs-cleaner]
root         441  0.0  0.0      0     0 ?        S    Oct03   0:51 [btrfs-transacti]
root         548  0.0  0.7 200360 58620 ?        Ss   Oct03   0:04 /usr/lib/systemd/systemd-journald
root         560  0.0  0.1  34684  9744 ?        Ss   Oct03   0:01 /usr/lib/systemd/systemd-udevd
root         610  0.0  0.0      0     0 ?        I<   Oct03   0:00 [cfg80211]
root         630  0.0  0.0      0     0 ?        I<   Oct03   0:00 [kmemstick]
root         675  0.0  0.0      0     0 ?        S    Oct03   0:00 [jbd2/sdb2-8]
root         676  0.0  0.0      0     0 ?        I<   Oct03   0:00 [ext4-rsv-conver]
systemd+     699  0.0  0.0  17408  6624 ?        Ss   Oct03   1:17 /usr/lib/systemd/systemd-oomd
systemd+     700  0.0  0.2  36624 16212 ?        Ss   Oct03   0:12 /usr/lib/systemd/systemd-resolved
root         701  0.0  0.0  17248  6440 ?        Ss   Oct03   0:00 /usr/lib/systemd/systemd-userdbd
root         702  0.0  0.0  90568  1892 ?        S<sl Oct03   0:00 /sbin/auditd
root         704  0.0  0.0      0     0 ?        I<   Oct03   0:00 [rpciod]
root         705  0.0  0.0      0     0 ?        I<   Oct03   0:00 [xprtiod]
root         706  0.0  0.0   7832  3052 ?        S<   Oct03   0:00 /usr/sbin/sedispatch
avahi        728  0.0  0.0   8880  3972 ?        Ss   Oct03   0:00 avahi-daemon: running [fedora-3.local]
root         729  0.0  0.0  79188  3008 ?        Ssl  Oct03   0:03 /usr/sbin/irqbalance --foreground
root         731  0.0  0.0 229560  4904 ?        SLsl Oct03   0:00 /usr/libexec/low-memory-monitor
root         732  0.0  0.0   3264   940 ?        Ss   Oct03   0:00 /usr/sbin/mcelog --daemon --foreground
polkitd      733  0.0  0.2 2926880 17628 ?       Ssl  Oct03   0:01 /usr/lib/polkit-1/polkitd --no-debug
root         734  0.0  0.0 448636  6112 ?        Ssl  Oct03   0:00 /usr/libexec/power-profiles-daemon
root         744  0.0  0.2 396300 16640 ?        Ssl  Oct03   0:04 /usr/sbin/rsyslogd -n
rtkit        745  0.0  0.0 154184  1336 ?        SNsl Oct03   0:00 /usr/libexec/rtkit-daemon
root         746  0.0  0.0  11872  5180 ?        Ss   Oct03   0:00 /usr/sbin/smartd -n -q never --capabilities=mail
root         747  0.0  0.0 526264  7392 ?        Ssl  Oct03   0:00 /usr/libexec/accounts-daemon
root         754  0.0  0.0 448392  3912 ?        Ssl  Oct03   0:00 /usr/libexec/switcheroo-control
